code	Item
022.11	Milk, partially or completely skimmed, fresh, not concentrated or sweetened, of a fat content, by weight, not exceeding 1%
022.12	Cream, clotted, fresh, not concentrated or sweetened, of a fat content, by weight, exceeding 1% but not exceeding 6%
022.12	Cream, fresh, not concentrated or sweetened, of a fat content, by weight, exceeding 1% but not exceeding 6%
022.12	Cream, frozen, not concentrated or sweetened, of a fat content, by weight, exceeding 1% but not exceeding 6%
022.12	Milk, fresh, enriched by the addition of natural milk constituents, not concentrated or sweetened, of a fat content, by weight, exceeding 1% but not exceeding 6%
022.12	Milk, fresh, enriched in vitamins or mineral salts, not concentrated or sweetened, of a fat content, by weight, exceeding 1% but not exceeding 6%
022.12	Milk, frozen, not concentrated or sweetened, of a fat content, by weight, exceeding 1% but not exceeding 6%
022.12	Milk, partially skimmed, fresh, not concentrated or sweetened, of a fat content, by weight, exceeding 1% but not exceeding 6%
022.12	Milk, reconstituted, not concentrated or sweetened, of a fat content, by weight, exceeding 1% but not exceeding 6%
022.13	Cream, clotted, fresh, not concentrated or sweetened, of a fat content, by weight, exceeding 6%
022.13	Cream, frozen, not concentrated or sweetened, of a fat content, by weight, exceeding 6%
022.13	Cream, fresh, not concentrated or sweetened, of a fat content, by weight, exceeding 6%
022.21	Milk (excl. whey), in powder or granules, of a fat content, by weight, not exceeding 1.5%, whether or not sweetened, put up in airtight containers
022.21	Milk, in blocks, of a fat content, by weight, not exceeding 1.5%, whether or not sweetened
022.21	Milk, skimmed, in powder or granules, of a fat content, by weight, not exceeding 1.5%, whether or not sweetened
022.21	Milk-powder, of a fat content, by weight, not exceeding 1.5%, containing small quantities of acid in crystal form or small quantities of starch (not exceeding 5% by weight)
022.22	Cream, in powder or granules, whether or not sweetened
022.22	Milk (excl. whey), concentrated, evaporated or sweetened, in powder or granules, of a fat content, by weight, exceeding 1.5%
022.22	Milk (excl. whey), in blocks, of a fat content, by weight, exceeding 1.5%
022.22	Milk (excl. whey), in powder or granules, of a fat content, by weight, exceeding 1.5%, whether or not sweetened or in airtight containers
022.22	Milk, skimmed, in powder or granules, of a fat content, by weight, exceeding 1.5%, whether or not sweetened
022.22	Milk-powder, of a fat content, by weight, exceeding 1.5%
022.23	Cream, not in solid form, unsweetened
022.23	Milk (excl. whey), not in solid form, unsweetened, whether or not in airtight containers
022.23	Milk, in paste form, unsweetened
022.23	Milk, skimmed, preserved, not in solid form, unsweetened
022.24	Cream, not in solid form, sweetened
022.24	Milk (excl. whey), preserved, not in solid form, sweetened
022.24	Milk, in paste form, sweetened
022.24	Milk, skimmed, preserved, not in solid form, sweetened
022.31	Yogurt, whether or not concentrated or containing added sugar or other sweetening matter or containing added fruit, nuts or cocoa
022.32	Buttermilk
022.32	Cream, acidified
022.32	Cream, curdled
022.32	Cream, fermented
022.32	Cream, sour
022.32	Kephir
022.32	Milk, acidified
022.32	Milk, curdled
022.32	Milk, fermented
022.33	Ice-cream
022.33	Lollipops, iced
022.33	Sherbet
022.41	Whey, fresh
022.41	Whey, preserved, in liquid, semi-solid or solid form
022.41	Whey, preserved, whether or not concentrated or sweetened, put up in airtight containers
022.49	Milk, protein-rich, fresh or preserved, whether or not concentrated or containing added sugar or other sweetening matter
022.49	Milk, vitamin-rich, fresh or preserved, whether or not concentrated or containing added sugar or other sweetening matter
023.0	Butter, canned
023.0	Butter, dehydrated
023.0	Butter, fractionated
023.0	Butter, fresh or salted
023.0	Butter, melted, fresh or salted
023.0	Butter, rancid
023.0	Butterfat
023.0	Butteroil
023.0	Ghee
023.0	Milk fat
024.1	Cheese, grated, of all kinds
024.1	Cheese, powdered, of all kinds
024.2	Cheese, processed, not grated or powdered
024.3	Cheese, Bleu d'Auvergne
024.3	Cheese, Bleu de Bresse
024.3	Cheese, Bleu de Laqueuille
024.3	Cheese, Bleu des Causses
024.3	Cheese, blue-veined
024.3	Cheese, Gorgonzola
024.3	Cheese, Roquefort
024.91	Cheese, cottage, not fermented
024.91	Cheese, cream, not fermented
024.91	Cheese, fresh, not fermented
024.91	Cheese, Gervais
024.91	Cheese, mozzarella
024.91	Cheese, Neufchâtel, fresh
024.91	Cheese, Petit-Suisse
024.91	Cheese, ricotta
024.91	Cheese, whey, fresh, not fermented
024.91	Curd
024.99	Bergkäse
024.99	Butterkäse
024.99	Cheese, Appenzell
024.99	Cheese, Bel Paese
024.99	Cheese, Brie
024.99	Cheese, Bryndza
024.99	Cheese, buffalo milk (excl. mozzarella)
